percentcover,bareground,litter,species,Year,Site
38,3,5,Crested Wheatgrass,Spring 2018,NARC
15,5,3,Crested Wheatgrass,Fall 2018,NARC
63,3,3,Crested Wheatgrass,Spring 2019,NARC
38,3,2,Crested Wheatgrass,Fall 2019,NARC
2,1,3,Crested Wheatgrass,Spring 2018,NARC
2,1,1,Crested Wheatgrass,Fall 2018,NARC
2,1,2,Crested Wheatgrass,Spring 2019,NARC
2,4,1,Crested Wheatgrass,Fall 2019,NARC
63,1,2,Crested Wheatgrass,Spring 2018,NARC
38,2,5,Crested Wheatgrass,Fall 2018,NARC
63,2,4,Crested Wheatgrass,Spring 2019,NARC
15,3,2,Crested Wheatgrass,Fall 2019,NARC
38,1,4,Crested Wheatgrass,Spring 2018,NARC
38,2,5,Crested Wheatgrass,Fall 2018,NARC
15,2,2,Crested Wheatgrass,Spring 2019,NARC
15,1,2,Crested Wheatgrass,Fall 2019,NARC
63,2,2,Crested Wheatgrass,Spring 2018,NARC
38,2,5,Crested Wheatgrass,Fall 2018,NARC
63,2,3,Crested Wheatgrass,Spring 2019,NARC
15,2,2,Crested Wheatgrass,Fall 2019,NARC
38,4,1,Crested Wheatgrass,Spring 2018,NARC
63,2,5,Crested Wheatgrass,Fall 2018,NARC
15,5,1,Crested Wheatgrass,Spring 2019,NARC
2,5,1,Crested Wheatgrass,Fall 2019,NARC
2,5,1,Crested Wheatgrass,Spring 2018,NARC
2,5,1,Crested Wheatgrass,Fall 2018,NARC
2,5,1,Crested Wheatgrass,Spring 2019,NARC
2,4,1,Crested Wheatgrass,Fall 2019,NARC
63,2,4,Crested Wheatgrass,Spring 2018,NARC
15,1,2,Crested Wheatgrass,Fall 2018,NARC
85,1,3,Crested Wheatgrass,Spring 2019,NARC
2,2,2,Crested Wheatgrass,Fall 2019,NARC
2,1,1,Crested Wheatgrass,Spring 2018,NARC
2,1,1,Crested Wheatgrass,Fall 2018,NARC
15,1,1,Crested Wheatgrass,Spring 2019,NARC
2,1,2,Crested Wheatgrass,Fall 2019,NARC
63,2,2,Crested Wheatgrass,Spring 2018,NARC
15,4,3,Crested Wheatgrass,Fall 2018,NARC
2,4,1,Crested Wheatgrass,Spring 2019,NARC
15,3,1,Crested Wheatgrass,Fall 2019,NARC
63,2,1,Crested Wheatgrass,Spring 2018,NARC
15,2,4,Crested Wheatgrass,Fall 2018,NARC
15,3,1,Crested Wheatgrass,Spring 2019,NARC
15,3,2,Crested Wheatgrass,Fall 2019,NARC
38,1,1,Crested Wheatgrass,Spring 2018,NARC
38,3,3,Crested Wheatgrass,Fall 2018,NARC
63,1,4,Crested Wheatgrass,Spring 2019,NARC
15,1,3,Crested Wheatgrass,Fall 2019,NARC
15,4,1,Crested Wheatgrass,Spring 2018,NARC
2,5,1,Crested Wheatgrass,Fall 2018,NARC
38,4,2,Crested Wheatgrass,Spring 2019,NARC
2,2,3,Crested Wheatgrass,Fall 2019,NARC
15,5,2,Crested Wheatgrass,Spring 2018,NARC
2,4,2,Crested Wheatgrass,Fall 2018,NARC
28,3,1,Crested Wheatgrass,Spring 2019,NARC
15,2,3,Crested Wheatgrass,Fall 2019,NARC
38,2,3,Crested Wheatgrass,Spring 2018,NARC
38,4,4,Crested Wheatgrass,Fall 2018,NARC
63,2,2,Crested Wheatgrass,Spring 2019,NARC
15,3,2,Crested Wheatgrass,Fall 2019,NARC
63,3,2,Crested Wheatgrass,Spring 2018,NARC
38,1,5,Crested Wheatgrass,Fall 2018,NARC
38,4,2,Crested Wheatgrass,Spring 2019,NARC
2,2,1,Crested Wheatgrass,Fall 2019,NARC
38,2,3,Crested Wheatgrass,Spring 2018,NARC
15,5,2,Crested Wheatgrass,Fall 2018,NARC
15,3,2,Crested Wheatgrass,Spring 2019,NARC
2,4,1,Crested Wheatgrass,Fall 2019,NARC
2,1,2,Crested Wheatgrass,Spring 2018,NARC
2,1,2,Crested Wheatgrass,Fall 2018,NARC
2,1,1,Crested Wheatgrass,Spring 2019,NARC
15,1,2,Crested Wheatgrass,Fall 2019,NARC
63,3,2,Crested Wheatgrass,Spring 2018,NARC
38,4,2,Crested Wheatgrass,Fall 2018,NARC
38,1,2,Crested Wheatgrass,Spring 2019,NARC
15,4,1,Crested Wheatgrass,Fall 2019,NARC
38,3,1,Crested Wheatgrass,Spring 2018,NARC
15,4,2,Crested Wheatgrass,Fall 2018,NARC
15,2,2,Crested Wheatgrass,Spring 2019,NARC
2,2,1,Crested Wheatgrass,Fall 2019,NARC
63,2,2,Crested Wheatgrass,Spring 2018,NARC
38,2,3,Crested Wheatgrass,Fall 2018,NARC
63,1,3,Crested Wheatgrass,Spring 2019,NARC
2,1,3,Crested Wheatgrass,Fall 2019,NARC
63,1,2,Crested Wheatgrass,Spring 2018,NARC
38,1,3,Crested Wheatgrass,Fall 2018,NARC
15,2,2,Crested Wheatgrass,Spring 2019,NARC
2,1,2,Crested Wheatgrass,Fall 2019,NARC
38,3,1,Crested Wheatgrass,Spring 2018,NARC
15,2,3,Crested Wheatgrass,Fall 2018,NARC
38,2,2,Crested Wheatgrass,Spring 2019,NARC
15,2,3,Crested Wheatgrass,Fall 2019,NARC
63,2,4,Crested Wheatgrass,Spring 2018,NARC
15,4,5,Crested Wheatgrass,Fall 2018,NARC
38,3,4,Crested Wheatgrass,Spring 2019,NARC
38,2,2,Crested Wheatgrass,Fall 2019,NARC
38,2,2,Crested Wheatgrass,Spring 2018,NARC
38,1,5,Crested Wheatgrass,Fall 2018,NARC
63,1,4,Crested Wheatgrass,Spring 2019,NARC
2,1,2,Crested Wheatgrass,Fall 2019,NARC
63,3,1,Crested Wheatgrass,Spring 2018,NARC
15,2,4,Crested Wheatgrass,Fall 2018,NARC
38,3,3,Crested Wheatgrass,Spring 2019,NARC
38,1,2,Crested Wheatgrass,Fall 2019,NARC
2,1,2,Crested Wheatgrass,Spring 2018,NARC
2,1,1,Crested Wheatgrass,Fall 2018,NARC
38,1,1,Crested Wheatgrass,Spring 2019,NARC
2,1,2,Crested Wheatgrass,Fall 2019,NARC
63,3,2,Crested Wheatgrass,Spring 2018,NARC
38,3,3,Crested Wheatgrass,Fall 2018,NARC
63,3,2,Crested Wheatgrass,Spring 2019,NARC
15,1,3,Crested Wheatgrass,Fall 2019,NARC
85,1,2,Crested Wheatgrass,Spring 2018,NARC
63,1,4,Crested Wheatgrass,Fall 2018,NARC
15,1,3,Crested Wheatgrass,Spring 2019,NARC
38,1,3,Crested Wheatgrass,Fall 2019,NARC
38,3,2,Crested Wheatgrass,Spring 2018,NARC
15,3,4,Crested Wheatgrass,Fall 2018,NARC
38,1,3,Crested Wheatgrass,Spring 2019,NARC
2,1,3,Crested Wheatgrass,Fall 2019,NARC
15,2,4,Crested Wheatgrass,Spring 2018,NARC
15,2,5,Crested Wheatgrass,Fall 2018,NARC
38,3,3,Crested Wheatgrass,Spring 2019,NARC
15,2,1,Crested Wheatgrass,Fall 2019,NARC
63,1,3,Crested Wheatgrass,Spring 2018,NARC
38,4,4,Crested Wheatgrass,Fall 2018,NARC
63,2,3,Crested Wheatgrass,Spring 2019,NARC
15,2,1,Crested Wheatgrass,Fall 2019,NARC
38,2,2,Crested Wheatgrass,Spring 2018,NARC
15,2,4,Crested Wheatgrass,Fall 2018,NARC
38,2,2,Crested Wheatgrass,Spring 2019,NARC
15,4,1,Crested Wheatgrass,Fall 2019,NARC
63,2,3,Crested Wheatgrass,Spring 2018,NARC
15,3,3,Crested Wheatgrass,Fall 2018,NARC
38,3,2,Crested Wheatgrass,Spring 2019,NARC
15,4,1,Crested Wheatgrass,Fall 2019,NARC
38,3,1,Crested Wheatgrass,Spring 2018,NARC
38,4,2,Crested Wheatgrass,Fall 2018,NARC
38,3,1,Crested Wheatgrass,Spring 2019,NARC
15,4,1,Crested Wheatgrass,Fall 2019,NARC
63,2,1,Crested Wheatgrass,Spring 2018,NARC
85,2,2,Crested Wheatgrass,Fall 2018,NARC
63,1,1,Crested Wheatgrass,Spring 2019,NARC
15,3,2,Crested Wheatgrass,Fall 2019,NARC
38,2,3,Crested Wheatgrass,Spring 2018,NARC
38,2,5,Crested Wheatgrass,Fall 2018,NARC
38,2,1,Crested Wheatgrass,Spring 2019,NARC
15,2,2,Crested Wheatgrass,Fall 2019,NARC
63,3,2,Crested Wheatgrass,Spring 2018,NARC
15,1,2,Crested Wheatgrass,Fall 2018,NARC
15,1,1,Crested Wheatgrass,Spring 2019,NARC
2,1,2,Crested Wheatgrass,Fall 2019,NARC
63,2,2,Crested Wheatgrass,Spring 2018,NARC
38,1,4,Crested Wheatgrass,Fall 2018,NARC
2,4,2,Crested Wheatgrass,Spring 2019,NARC
2,3,3,Crested Wheatgrass,Fall 2019,NARC
2,4,2,Crested Wheatgrass,Spring 2018,NARC
2,5,1,Crested Wheatgrass,Fall 2018,NARC
2,3,1,Crested Wheatgrass,Spring 2019,NARC
15,4,1,Crested Wheatgrass,Fall 2019,NARC
38,1,2,Crested Wheatgrass,Spring 2018,NARC
38,1,5,Crested Wheatgrass,Fall 2018,NARC
15,3,4,Crested Wheatgrass,Spring 2019,NARC
15,1,2,Crested Wheatgrass,Fall 2019,NARC
2,1,2,Crested Wheatgrass,Spring 2018,NARC
15,1,2,Crested Wheatgrass,Fall 2018,NARC
2,1,2,Crested Wheatgrass,Spring 2019,NARC
2,1,2,Crested Wheatgrass,Fall 2019,NARC
38,2,2,Crested Wheatgrass,Spring 2018,NARC
38,1,5,Crested Wheatgrass,Fall 2018,NARC
15,2,2,Crested Wheatgrass,Spring 2019,NARC
38,2,2,Crested Wheatgrass,Fall 2019,NARC
38,2,1,Crested Wheatgrass,Spring 2018,TNC
38,1,1,Crested Wheatgrass,Fall 2018,TNC
63,1,3,Crested Wheatgrass,Spring 2019,TNC
38,3,3,Crested Wheatgrass,Fall 2019,TNC
85,1,1,Crested Wheatgrass,Spring 2018,TNC
85,1,5,Crested Wheatgrass,Fall 2018,TNC
85,1,5,Crested Wheatgrass,Spring 2019,TNC
98,1,4,Crested Wheatgrass,Fall 2019,TNC
63,3,2,Crested Wheatgrass,Spring 2018,TNC
38,3,1,Crested Wheatgrass,Fall 2018,TNC
38,4,2,Crested Wheatgrass,Spring 2019,TNC
85,2,4,Crested Wheatgrass,Fall 2019,TNC
85,2,2,Crested Wheatgrass,Spring 2018,TNC
63,2,3,Crested Wheatgrass,Fall 2018,TNC
85,1,2,Crested Wheatgrass,Spring 2019,TNC
63,3,5,Crested Wheatgrass,Fall 2019,TNC
38,2,3,Crested Wheatgrass,Spring 2018,TNC
63,2,3,Crested Wheatgrass,Fall 2018,TNC
38,2,3,Crested Wheatgrass,Spring 2019,TNC
63,3,5,Crested Wheatgrass,Fall 2019,TNC
85,1,2,Crested Wheatgrass,Spring 2018,TNC
38,3,1,Crested Wheatgrass,Fall 2018,TNC
85,1,3,Crested Wheatgrass,Spring 2019,TNC
15,5,2,Crested Wheatgrass,Fall 2019,TNC
85,2,2,Crested Wheatgrass,Spring 2018,TNC
85,2,2,Crested Wheatgrass,Fall 2018,TNC
85,1,3,Crested Wheatgrass,Spring 2019,TNC
85,2,2,Crested Wheatgrass,Fall 2019,TNC
38,3,1,Crested Wheatgrass,Spring 2018,TNC
63,3,2,Crested Wheatgrass,Fall 2018,TNC
15,5,2,Crested Wheatgrass,Spring 2019,TNC
38,4,1,Crested Wheatgrass,Fall 2019,TNC
63,2,1,Crested Wheatgrass,Spring 2018,TNC
63,4,1,Crested Wheatgrass,Fall 2018,TNC
85,1,3,Crested Wheatgrass,Spring 2019,TNC
38,3,1,Crested Wheatgrass,Fall 2019,TNC
85,2,1,Crested Wheatgrass,Spring 2018,TNC
85,2,2,Crested Wheatgrass,Fall 2018,TNC
15,3,2,Crested Wheatgrass,Spring 2019,TNC
85,1,5,Crested Wheatgrass,Fall 2019,TNC
63,3,1,Crested Wheatgrass,Spring 2018,TNC
38,3,1,Crested Wheatgrass,Fall 2018,TNC
63,3,3,Crested Wheatgrass,Spring 2019,TNC
63,3,2,Crested Wheatgrass,Fall 2019,TNC
63,3,1,Crested Wheatgrass,Spring 2018,TNC
85,2,1,Crested Wheatgrass,Fall 2018,TNC
63,3,4,Crested Wheatgrass,Spring 2019,TNC
63,2,5,Crested Wheatgrass,Fall 2019,TNC
38,2,1,Crested Wheatgrass,Spring 2018,TNC
98,1,2,Crested Wheatgrass,Fall 2018,TNC
63,1,3,Crested Wheatgrass,Spring 2019,TNC
63,1,5,Crested Wheatgrass,Fall 2019,TNC
63,3,1,Crested Wheatgrass,Spring 2018,TNC
85,2,1,Crested Wheatgrass,Fall 2018,TNC
63,2,2,Crested Wheatgrass,Spring 2019,TNC
63,3,2,Crested Wheatgrass,Fall 2019,TNC
63,2,3,Crested Wheatgrass,Spring 2018,TNC
63,3,3,Crested Wheatgrass,Fall 2018,TNC
85,1,3,Crested Wheatgrass,Spring 2019,TNC
38,2,4,Crested Wheatgrass,Fall 2019,TNC
38,3,2,Crested Wheatgrass,Spring 2018,TNC
63,3,3,Crested Wheatgrass,Fall 2018,TNC
63,3,1,Crested Wheatgrass,Spring 2019,TNC
85,2,3,Crested Wheatgrass,Fall 2019,TNC
38,3,1,Crested Wheatgrass,Spring 2018,TNC
38,3,1,Crested Wheatgrass,Fall 2018,TNC
63,4,1,Crested Wheatgrass,Spring 2019,TNC
38,3,1,Crested Wheatgrass,Fall 2019,TNC
63,2,1,Crested Wheatgrass,Spring 2018,TNC
63,1,1,Crested Wheatgrass,Fall 2018,TNC
63,2,1,Crested Wheatgrass,Spring 2019,TNC
38,3,2,Crested Wheatgrass,Fall 2019,TNC
38,3,2,Crested Wheatgrass,Spring 2018,TNC
85,2,2,Crested Wheatgrass,Fall 2018,TNC
15,1,6,Crested Wheatgrass,Spring 2019,TNC
85,2,3,Crested Wheatgrass,Fall 2019,TNC
63,2,1,Crested Wheatgrass,Spring 2018,TNC
2,5,1,Crested Wheatgrass,Fall 2018,TNC
38,5,1,Crested Wheatgrass,Spring 2019,TNC
15,4,1,Crested Wheatgrass,Fall 2019,TNC
85,1,1,Crested Wheatgrass,Spring 2018,TNC
98,1,2,Crested Wheatgrass,Fall 2018,TNC
98,1,3,Crested Wheatgrass,Spring 2019,TNC
63,3,3,Crested Wheatgrass,Fall 2019,TNC
38,3,3,Crested Wheatgrass,Spring 2018,TNC
63,3,1,Crested Wheatgrass,Fall 2018,TNC
38,4,2,Crested Wheatgrass,Spring 2019,TNC
63,2,1,Crested Wheatgrass,Fall 2019,TNC
85,2,1,Crested Wheatgrass,Spring 2018,TNC
63,1,2,Crested Wheatgrass,Fall 2018,TNC
98,1,4,Crested Wheatgrass,Spring 2019,TNC
38,3,2,Crested Wheatgrass,Fall 2019,TNC
15,2,4,Crested Wheatgrass,Spring 2018,TNC
63,2,4,Crested Wheatgrass,Fall 2018,TNC
15,5,1,Crested Wheatgrass,Spring 2019,TNC
15,5,3,Crested Wheatgrass,Fall 2019,TNC
85,2,1,Crested Wheatgrass,Spring 2018,TNC
63,2,2,Crested Wheatgrass,Fall 2018,TNC
38,3,2,Crested Wheatgrass,Spring 2019,TNC
38,4,2,Crested Wheatgrass,Fall 2019,TNC
63,2,1,Crested Wheatgrass,Spring 2018,TNC
63,3,1,Crested Wheatgrass,Fall 2018,TNC
63,2,2,Crested Wheatgrass,Spring 2019,TNC
63,3,2,Crested Wheatgrass,Fall 2019,TNC
15,4,1,Crested Wheatgrass,Spring 2018,TNC
98,1,2,Crested Wheatgrass,Fall 2018,TNC
38,3,4,Crested Wheatgrass,Spring 2019,TNC
38,3,2,Crested Wheatgrass,Fall 2019,TNC
15,4,1,Crested Wheatgrass,Spring 2018,TNC
85,2,1,Crested Wheatgrass,Fall 2018,TNC
85,1,2,Crested Wheatgrass,Spring 2019,TNC
63,3,2,Crested Wheatgrass,Fall 2019,TNC
63,2,1,Crested Wheatgrass,Spring 2018,TNC
98,1,3,Crested Wheatgrass,Fall 2018,TNC
85,2,3,Crested Wheatgrass,Spring 2019,TNC
98,1,5,Crested Wheatgrass,Fall 2019,TNC
85,1,1,Crested Wheatgrass,Spring 2018,TNC
63,3,1,Crested Wheatgrass,Fall 2018,TNC
85,2,3,Crested Wheatgrass,Spring 2019,TNC
38,3,2,Crested Wheatgrass,Fall 2019,TNC
85,2,1,Crested Wheatgrass,Spring 2018,TNC
85,2,1,Crested Wheatgrass,Fall 2018,TNC
85,2,1,Crested Wheatgrass,Spring 2019,TNC
38,3,2,Crested Wheatgrass,Fall 2019,TNC
85,2,1,Crested Wheatgrass,Spring 2018,TNC
63,3,1,Crested Wheatgrass,Fall 2018,TNC
98,1,2,Crested Wheatgrass,Spring 2019,TNC
38,4,1,Crested Wheatgrass,Fall 2019,TNC
85,2,1,Crested Wheatgrass,Spring 2018,TNC
85,2,2,Crested Wheatgrass,Fall 2018,TNC
38,5,1,Crested Wheatgrass,Spring 2019,TNC
2,2,4,Crested Wheatgrass,Fall 2019,TNC
63,1,3,Crested Wheatgrass,Spring 2018,TNC
85,2,1,Crested Wheatgrass,Fall 2018,TNC
85,1,2,Crested Wheatgrass,Spring 2019,TNC
38,3,2,Crested Wheatgrass,Fall 2019,TNC
63,3,2,Crested Wheatgrass,Spring 2018,TNC
63,3,1,Crested Wheatgrass,Fall 2018,TNC
85,2,1,Crested Wheatgrass,Spring 2019,TNC
15,4,1,Crested Wheatgrass,Fall 2019,TNC
85,2,1,Crested Wheatgrass,Spring 2018,TNC
15,2,2,Crested Wheatgrass,Fall 2018,TNC
63,2,3,Crested Wheatgrass,Spring 2019,TNC
63,3,2,Crested Wheatgrass,Fall 2019,TNC
38,4,1,Crested Wheatgrass,Spring 2018,TNC
15,5,2,Crested Wheatgrass,Fall 2018,TNC
15,5,1,Crested Wheatgrass,Spring 2019,TNC
63,2,3,Crested Wheatgrass,Fall 2019,TNC
15,4,2,Crested Wheatgrass,Spring 2018,TNC
98,1,1,Crested Wheatgrass,Fall 2018,TNC
38,2,3,Crested Wheatgrass,Spring 2019,TNC
85,2,5,Crested Wheatgrass,Fall 2019,TNC
85,1,1,Crested Wheatgrass,Spring 2018,TNC
63,3,1,Crested Wheatgrass,Fall 2018,TNC
85,2,4,Crested Wheatgrass,Spring 2019,TNC
38,4,3,Crested Wheatgrass,Fall 2019,TNC
63,2,3,Crested Wheatgrass,Spring 2018,TNC
38,5,2,Crested Wheatgrass,Fall 2018,TNC
38,5,1,Crested Wheatgrass,Spring 2019,TNC
63,3,1,Crested Wheatgrass,Fall 2019,TNC
38,3,2,Crested Wheatgrass,Spring 2018,TNC
2,5,1,Crested Wheatgrass,Fall 2018,TNC
38,3,1,Crested Wheatgrass,Spring 2019,TNC
38,4,2,Crested Wheatgrass,Fall 2019,TNC
15,5,1,Crested Wheatgrass,Spring 2018,TNC
63,4,1,Crested Wheatgrass,Fall 2018,TNC
15,4,4,Crested Wheatgrass,Spring 2019,TNC
38,3,2,Crested Wheatgrass,Fall 2019,TNC
38,3,1,Crested Wheatgrass,Spring 2018,TNC
98,1,3,Crested Wheatgrass,Fall 2018,TNC
63,1,4,Crested Wheatgrass,Spring 2019,TNC
85,1,5,Crested Wheatgrass,Fall 2019,TNC
85,1,1,Crested Wheatgrass,Spring 2018,TNC
38,5,1,Crested Wheatgrass,Fall 2018,TNC
